UpTrend,NoTrend,DownTrend,Trend,Time
0,1,0,0,1407128400
1,0,0,1,1407129300
1,0,0,1,1407130200
1,0,0,1,1407131100
1,0,0,1,1407132000
0,1,0,0,1407132900
0,0,1,-1,1407133800
0,0,1,-1,1407134700
0,0,1,-1,1407135600
0,0,1,-1,1407136500
0,0,1,-1,1407137400
0,0,1,-1,1407138300
0,0,1,-1,1407139200
0,0,1,-1,1407140100
0,0,1,-1,1407141000
0,0,1,-1,1407141900
0,1,0,0,1407142800
0,0,1,-1,1407143700
0,0,1,-1,1407144600
0,0,1,-1,1407145500
0,1,0,0,1407146400
0,1,0,0,1407147300
0,1,0,0,1407148200
0,1,0,0,1407149100
0,1,0,0,1407150000
0,1,0,0,1407150900
0,1,0,0,1407151800
1,0,0,1,1407152700
1,0,0,1,1407153600
1,0,0,1,1407154500
0,1,0,0,1407155400
0,1,0,0,1407156300
0,1,0,0,1407157200
0,1,0,0,1407158100
0,0,1,-1,1407159000
0,1,0,0,1407159900
0,1,0,0,1407160800
0,1,0,0,1407161700
0,1,0,0,1407162600
0,1,0,0,1407163500
0,1,0,0,1407164400
0,1,0,0,1407165300
0,1,0,0,1407166200
0,1,0,0,1407167100
0,1,0,0,1407168000
0,1,0,0,1407168900
1,0,0,1,1407169800
0,1,0,0,1407170700
1,0,0,1,1407171600
1,0,0,1,1407172500
1,0,0,1,1407173400
1,0,0,1,1407174300
1,0,0,1,1407175200
1,0,0,1,1407176100
1,0,0,1,1407177000
1,0,0,1,1407177900
1,0,0,1,1407178800
1,0,0,1,1407179700
1,0,0,1,1407180600
1,0,0,1,1407181500
1,0,0,1,1407182400
1,0,0,1,1407183300
1,0,0,1,1407184200
1,0,0,1,1407185100
1,0,0,1,1407186000
1,0,0,1,1407186900
1,0,0,1,1407187800
1,0,0,1,1407188700
1,0,0,1,1407189600
1,0,0,1,1407190500
0,1,0,0,1407191400
0,1,0,0,1407192300
0,1,0,0,1407193200
1,0,0,1,1407194100
1,0,0,1,1407195000
0,1,0,0,1407195900
0,1,0,0,1407196800
0,1,0,0,1407197700
0,1,0,0,1407198600
1,0,0,1,1407199500
0,1,0,0,1407200400
1,0,0,1,1407201300
0,1,0,0,1407202200
0,0,1,-1,1407203100
0,0,1,-1,1407204000
0,0,1,-1,1407204900
0,0,1,-1,1407205800
0,1,0,0,1407206700
0,0,1,-1,1407207600
0,1,0,0,1407208500
0,0,1,-1,1407209400
0,1,0,0,1407210300
0,0,1,-1,1407211200
0,0,1,-1,1407212100
0,0,1,-1,1407213000
0,0,1,-1,1407213900
0,0,1,-1,1407214800
0,0,1,-1,1407215700
0,0,1,-1,1407216600
0,0,1,-1,1407217500
0,0,1,-1,1407218400
0,0,1,-1,1407219300
0,1,0,0,1407220200
0,1,0,0,1407221100
0,1,0,0,1407222000
0,1,0,0,1407222900
0,0,1,-1,1407223800
0,0,1,-1,1407224700
0,0,1,-1,1407225600
0,0,1,-1,1407226500
0,0,1,-1,1407227400
0,0,1,-1,1407228300
0,0,1,-1,1407229200
0,0,1,-1,1407230100
0,1,0,0,1407231000
0,0,1,-1,1407231900
0,0,1,-1,1407232800
0,1,0,0,1407233700
0,0,1,-1,1407234600
0,1,0,0,1407235500
0,0,1,-1,1407236400
0,0,1,-1,1407237300
0,0,1,-1,1407238200
0,0,1,-1,1407239100
0,0,1,-1,1407240000
0,1,0,0,1407240900
0,1,0,0,1407241800
0,1,0,0,1407242700
0,1,0,0,1407243600
0,1,0,0,1407244500
0,1,0,0,1407245400
0,1,0,0,1407246300
1,0,0,1,1407247200
1,0,0,1,1407248100
0,1,0,0,1407249000
0,1,0,0,1407249900
0,0,1,-1,1407250800
0,0,1,-1,1407251700
0,0,1,-1,1407252600
0,0,1,-1,1407253500
0,0,1,-1,1407254400
0,0,1,-1,1407255300
0,0,1,-1,1407256200
0,0,1,-1,1407257100
0,0,1,-1,1407258000
0,0,1,-1,1407258900
0,0,1,-1,1407259800
0,0,1,-1,1407260700
0,0,1,-1,1407261600
0,0,1,-1,1407262500
0,0,1,-1,1407263400
0,0,1,-1,1407264300
0,0,1,-1,1407265200
0,1,0,0,1407266100
0,1,0,0,1407267000
0,1,0,0,1407267900
0,1,0,0,1407268800
