UpTrend,NoTrend,DownTrend,Trend,Time
1,0,0,1,1404882000
0,1,0,0,1404896400
1,0,0,1,1404910800
1,0,0,1,1404925200
1,0,0,1,1404939600
1,0,0,1,1404954000
1,0,0,1,1404968400
0,1,0,0,1404982800
0,1,0,0,1404997200
0,1,0,0,1405011600
0,0,1,-1,1405026000
0,0,1,-1,1405040400
0,1,0,0,1405054800
0,0,1,-1,1405069200
0,0,1,-1,1405083600
0,0,1,-1,1405098000
0,0,1,-1,1405285200
0,0,1,-1,1405299600
0,1,0,0,1405314000
0,1,0,0,1405328400
0,1,0,0,1405342800
0,1,0,0,1405357200
0,1,0,0,1405371600
0,1,0,0,1405386000
0,1,0,0,1405400400
0,1,0,0,1405414800
0,0,1,-1,1405429200
0,0,1,-1,1405443600
0,0,1,-1,1405458000
0,0,1,-1,1405472400
0,0,1,-1,1405486800
0,0,1,-1,1405501200
0,0,1,-1,1405515600
0,0,1,-1,1405530000
0,0,1,-1,1405544400
0,0,1,-1,1405558800
0,0,1,-1,1405573200
0,0,1,-1,1405587600
0,0,1,-1,1405602000
0,0,1,-1,1405616400
0,0,1,-1,1405630800
0,0,1,-1,1405645200
0,0,1,-1,1405659600
0,0,1,-1,1405674000
0,0,1,-1,1405688400
0,0,1,-1,1405702800
0,1,0,0,1405890000
0,1,0,0,1405904400
0,1,0,0,1405918800
0,1,0,0,1405933200
0,1,0,0,1405947600
0,1,0,0,1405962000
0,1,0,0,1405976400
0,1,0,0,1405990800
0,0,1,-1,1406005200
0,0,1,-1,1406019600
0,0,1,-1,1406034000
0,0,1,-1,1406048400
0,0,1,-1,1406062800
0,0,1,-1,1406077200
0,0,1,-1,1406091600
0,0,1,-1,1406106000
0,0,1,-1,1406120400
0,0,1,-1,1406134800
0,0,1,-1,1406149200
0,0,1,-1,1406163600
0,1,0,0,1406178000
0,1,0,0,1406192400
0,1,0,0,1406206800
0,1,0,0,1406221200
0,1,0,0,1406235600
0,1,0,0,1406250000
0,0,1,-1,1406264400
0,0,1,-1,1406278800
0,0,1,-1,1406293200
0,0,1,-1,1406307600
0,0,1,-1,1406494800
0,0,1,-1,1406509200
0,1,0,0,1406523600
0,1,0,0,1406538000
0,1,0,0,1406552400
0,1,0,0,1406566800
0,1,0,0,1406581200
0,0,1,-1,1406595600
0,1,0,0,1406610000
0,0,1,-1,1406624400
0,0,1,-1,1406638800
0,0,1,-1,1406653200
0,0,1,-1,1406667600
0,0,1,-1,1406682000
0,0,1,-1,1406696400
0,0,1,-1,1406710800
0,0,1,-1,1406725200
0,1,0,0,1406739600
0,1,0,0,1406754000
0,1,0,0,1406768400
0,1,0,0,1406782800
0,0,1,-1,1406797200
0,0,1,-1,1406811600
0,1,0,0,1406826000
0,1,0,0,1406840400
0,0,1,-1,1406854800
0,1,0,0,1406869200
0,1,0,0,1406883600
1,0,0,1,1406898000
1,0,0,1,1406912400
1,0,0,1,1407099600
0,1,0,0,1407114000
1,0,0,1,1407128400
0,1,0,0,1407142800
0,1,0,0,1407157200
0,1,0,0,1407171600
0,1,0,0,1407186000
