UpTrend,NoTrend,DownTrend,Trend,Time
0,1,0,0,1404363600
0,0,1,-1,1404378000
0,0,1,-1,1404392400
0,0,1,-1,1404406800
0,0,1,-1,1404421200
0,0,1,-1,1404435600
0,0,1,-1,1404450000
0,0,1,-1,1404464400
0,0,1,-1,1404478800
0,1,0,0,1404493200
0,1,0,0,1404680400
0,1,0,0,1404694800
0,1,0,0,1404709200
0,0,1,-1,1404723600
0,1,0,0,1404738000
0,1,0,0,1404752400
0,1,0,0,1404766800
1,0,0,1,1404781200
0,1,0,0,1404795600
0,1,0,0,1404810000
0,1,0,0,1404824400
1,0,0,1,1404838800
1,0,0,1,1404853200
1,0,0,1,1404867600
1,0,0,1,1404882000
0,1,0,0,1404896400
0,1,0,0,1404910800
1,0,0,1,1404925200
1,0,0,1,1404939600
1,0,0,1,1404954000
1,0,0,1,1404968400
1,0,0,1,1404982800
0,1,0,0,1404997200
0,1,0,0,1405011600
0,0,1,-1,1405026000
0,0,1,-1,1405040400
0,0,1,-1,1405054800
1,0,0,1,1405069200
1,0,0,1,1405083600
1,0,0,1,1405098000
1,0,0,1,1405285200
1,0,0,1,1405299600
1,0,0,1,1405314000
1,0,0,1,1405328400
0,1,0,0,1405342800
0,1,0,0,1405357200
0,1,0,0,1405371600
1,0,0,1,1405386000
1,0,0,1,1405400400
0,1,0,0,1405414800
0,1,0,0,1405429200
0,1,0,0,1405443600
1,0,0,1,1405458000
0,1,0,0,1405472400
0,1,0,0,1405486800
0,1,0,0,1405501200
0,1,0,0,1405515600
0,1,0,0,1405530000
0,0,1,-1,1405544400
0,0,1,-1,1405558800
0,0,1,-1,1405573200
0,0,1,-1,1405587600
0,0,1,-1,1405602000
0,1,0,0,1405616400
0,1,0,0,1405630800
0,0,1,-1,1405645200
0,1,0,0,1405659600
0,0,1,-1,1405674000
0,0,1,-1,1405688400
0,1,0,0,1405702800
0,1,0,0,1405890000
0,1,0,0,1405904400
0,1,0,0,1405918800
0,1,0,0,1405933200
0,1,0,0,1405947600
0,1,0,0,1405962000
0,1,0,0,1405976400
0,1,0,0,1405990800
0,0,1,-1,1406005200
0,0,1,-1,1406019600
0,0,1,-1,1406034000
0,0,1,-1,1406048400
0,0,1,-1,1406062800
0,0,1,-1,1406077200
0,0,1,-1,1406091600
0,0,1,-1,1406106000
0,1,0,0,1406120400
0,0,1,-1,1406134800
0,1,0,0,1406149200
0,1,0,0,1406163600
0,1,0,0,1406178000
0,1,0,0,1406192400
0,1,0,0,1406206800
0,1,0,0,1406221200
0,1,0,0,1406235600
0,1,0,0,1406250000
0,1,0,0,1406264400
0,1,0,0,1406278800
1,0,0,1,1406293200
1,0,0,1,1406307600
1,0,0,1,1406494800
1,0,0,1,1406509200
1,0,0,1,1406523600
1,0,0,1,1406538000
1,0,0,1,1406552400
1,0,0,1,1406566800
1,0,0,1,1406581200
1,0,0,1,1406595600
1,0,0,1,1406610000
1,0,0,1,1406624400
1,0,0,1,1406638800
1,0,0,1,1406653200
1,0,0,1,1406667600
1,0,0,1,1406682000
1,0,0,1,1406696400
1,0,0,1,1406710800
1,0,0,1,1406725200
1,0,0,1,1406739600
1,0,0,1,1406754000
1,0,0,1,1406768400
