UpTrend,NoTrend,DownTrend,Trend,Time
1,0,0,1,1407117600
1,0,0,1,1407118500
1,0,0,1,1407119400
0,1,0,0,1407120300
0,1,0,0,1407121200
1,0,0,1,1407122100
1,0,0,1,1407123000
1,0,0,1,1407123900
0,1,0,0,1407124800
1,0,0,1,1407125700
1,0,0,1,1407126600
1,0,0,1,1407127500
1,0,0,1,1407128400
1,0,0,1,1407129300
1,0,0,1,1407130200
1,0,0,1,1407131100
1,0,0,1,1407132000
1,0,0,1,1407132900
0,1,0,0,1407133800
0,1,0,0,1407134700
0,1,0,0,1407135600
0,0,1,-1,1407136500
0,0,1,-1,1407137400
0,0,1,-1,1407138300
0,0,1,-1,1407139200
0,0,1,-1,1407140100
0,1,0,0,1407141000
0,1,0,0,1407141900
0,1,0,0,1407142800
0,1,0,0,1407143700
0,1,0,0,1407144600
0,1,0,0,1407145500
0,1,0,0,1407146400
0,1,0,0,1407147300
0,1,0,0,1407148200
0,1,0,0,1407149100
