UpTrend,NoTrend,DownTrend,Trend,Time
0,1,0,0,1407214800
1,0,0,1,1407215700
1,0,0,1,1407216600
0,1,0,0,1407217500
0,1,0,0,1407218400
0,0,1,-1,1407219300
1,0,0,1,1407220200
1,0,0,1,1407221100
1,0,0,1,1407222000
0,1,0,0,1407222900
0,0,1,-1,1407223800
0,0,1,-1,1407224700
0,1,0,0,1407225600
0,0,1,-1,1407226500
0,0,1,-1,1407227400
0,0,1,-1,1407228300
0,0,1,-1,1407229200
0,0,1,-1,1407230100
0,1,0,0,1407231000
0,0,1,-1,1407231900
0,0,1,-1,1407232800
0,0,1,-1,1407233700
0,0,1,-1,1407234600
0,0,1,-1,1407235500
0,1,0,0,1407236400
0,0,1,-1,1407237300
0,1,0,0,1407238200
0,1,0,0,1407239100
0,0,1,-1,1407240000
0,0,1,-1,1407240900
0,1,0,0,1407241800
0,1,0,0,1407242700
0,1,0,0,1407243600
0,1,0,0,1407244500
0,0,1,-1,1407245400
0,1,0,0,1407246300
0,0,1,-1,1407247200
0,0,1,-1,1407248100
0,0,1,-1,1407249000
0,0,1,-1,1407249900
0,0,1,-1,1407250800
0,0,1,-1,1407251700
0,0,1,-1,1407252600
0,0,1,-1,1407253500
0,0,1,-1,1407254400
0,0,1,-1,1407255300
0,0,1,-1,1407256200
0,0,1,-1,1407257100
0,0,1,-1,1407258000
0,0,1,-1,1407258900
0,0,1,-1,1407259800
0,0,1,-1,1407260700
0,0,1,-1,1407261600
0,0,1,-1,1407262500
0,1,0,0,1407263400
0,1,0,0,1407264300
0,1,0,0,1407265200
0,1,0,0,1407266100
0,1,0,0,1407267000
0,1,0,0,1407267900
0,1,0,0,1407268800
0,1,0,0,1407269700
0,1,0,0,1407270600
0,0,1,-1,1407271500
0,1,0,0,1407272400
0,1,0,0,1407273300
0,1,0,0,1407274200
0,0,1,-1,1407275100
0,0,1,-1,1407276000
0,0,1,-1,1407276900
0,0,1,-1,1407277800
0,0,1,-1,1407278700
0,1,0,0,1407279600
0,1,0,0,1407280500
0,1,0,0,1407281400
0,1,0,0,1407282300
0,1,0,0,1407283200
0,1,0,0,1407284100
0,1,0,0,1407285000
0,0,1,-1,1407285900
0,0,1,-1,1407286800
0,0,1,-1,1407287700
1,0,0,1,1407288600
1,0,0,1,1407289500
0,1,0,0,1407290400
0,1,0,0,1407291300
0,1,0,0,1407292200
0,1,0,0,1407293100
0,1,0,0,1407294000
1,0,0,1,1407294900
0,1,0,0,1407295800
0,1,0,0,1407296700
1,0,0,1,1407297600
1,0,0,1,1407298500
1,0,0,1,1407299400
1,0,0,1,1407300300
1,0,0,1,1407301200
1,0,0,1,1407302100
1,0,0,1,1407303000
1,0,0,1,1407303900
0,1,0,0,1407304800
0,1,0,0,1407305700
0,1,0,0,1407306600
0,1,0,0,1407307500
0,1,0,0,1407308400
1,0,0,1,1407309300
1,0,0,1,1407310200
1,0,0,1,1407311100
1,0,0,1,1407312000
1,0,0,1,1407312900
1,0,0,1,1407313800
1,0,0,1,1407314700
0,1,0,0,1407315600
0,1,0,0,1407316500
0,1,0,0,1407317400
0,1,0,0,1407318300
0,1,0,0,1407319200
0,1,0,0,1407320100
